teamA;teamB;score
Malm FF;Juventus;2
Olympiacos;Malm FF;0
Juventus;Atltico Madrid;1
Liverpool;Ludogorets Razgrad;0
Real Madrid;Basel;0
Basel;Liverpool;0
Ludogorets Razgrad;Real Madrid;2
Ludogorets Razgrad;Basel;0
Liverpool;Real Madrid;2
Basel;Ludogorets Razgrad;0
Real Madrid;Liverpool;0
Ludogorets Razgrad;Liverpool;1
Basel;Real Madrid;2
Liverpool;Basel;1
Real Madrid;Ludogorets Razgrad;0
Monaco;Bayer Leverkusen;0
Benfica;Zenit Saint Petersburg;2
Zenit Saint Petersburg;Monaco;1
